Car_ID,Brand,Model,Year,Price,Mileage,Fuel_Type,Transmission,Engine_cc,Owner_Count
1001,toyota,Camry,2020,25000.0,45000.0,Petrol,Automatic,2500,1
1002,TOYOTA,Civic,2019,22000.0,52000.0,Diesel,Manual,1800,2
1003,Hyundai,Creta,2021,,30000.0,Petrol,Automatic,1500,1
1004,Toyta,Swift,2018,12000.0,60000.0,Petrol,Manual,1200,3
1005,Tata,Nexon,2022,18000.0,25000.0,petrol,Manual,1500,1
1006,Toyota,Corolla,2020,27000.0,40000.0,Petrol,Automatic,1800,2
1007,Honda,City,2019,21000.0,48000.0,Diesel,Manual,1500,1
1008,Hyundai,i20,2021,16000.0,35000.0,PETROL,Manual,1200,2
1009,Ford,EcoSport,2018,15000.0,70000.0,Diesel,Manual,1500,3
1010,Kia,Seltos,2022,,28000.0,Petrol,Automatic,1500,1
1011,Tata,Harrier,2020,-5000.0,32000.0,Diesel,Automatic,2000,2
1012,Toyota,Fortuner,2021,42000.0,-10000.0,diesel,Automatic,2800,1
1013,Honda,Amaze,2019,17000.0,50000.0,Petrol,Manual,-1500,2
1014,Maruti,Baleno,2022,14000.0,22000.0,Petrol,Manual,1200,1
1015,Hyundai,Venue,1890,19000.0,38000.0,Diesel,Automatic,1500,2
1016,Kia,Sonet,2035,21000.0,29000.0,Petrol,Automatic,1200,1
1017,Ford,Endeavour,2018,35000.0,65000.0,Diesel,Manual,2000,3
1018,Toyota,Innova,2022,30000.0,41000.0,Diesel,Automatic,2500,2
1019,Tata,Nexon,2020,20000.0,33000.0,Petrol,Manual,1500,1
1020,Honda,City,2019,19000.0,,Diesel,Manual,1500,2
1021,Hyundai,Verna,2021,18000.0,27000.0,Petrol,Automatic,1600,1
1022,Maruti,Swift,2018,11000.0,62000.0,Petrol,Manual,1200,3
1023,Kia,Carens,2022,25000.0,24000.0,Petrol,Automatic,1500,2
1024,Toyota,Corolla,2020,26000.0,36000.0,Diesel,Automatic,1800,1
1025,Ford,Aspire,2019,13000.0,68000.0,Petrol,Manual,1500,2
1026,Honda,Civic,2021,23000.0,42000.0,Petrol,Automatic,1800,1
1027,Tata,Punch,2022,10000.0,31000.0,Petrol,Manual,1200,2
1028,Hyundai,Creta,2020,22000.0,39000.0,Diesel,MANUAL,1500,1
1029,Toyota,Camry,2019,29000.0,28000.0,Petrol,Automatic,2500,3
1030,Maruti,Baleno,2021,15000.0,,Petrol,Manual,1200,2
1031,Kia,Seltos,2022,24000.0,26000.0,Diesel,Automatic,1500,1
1032,Honda,Amaze,2018,16000.0,53000.0,Petrol,Manual,1500,2
1033,Ford,EcoSport,2020,14000.0,72000.0,Diesel,Manual,1500,3
1034,Tata,Harrier,2021,27000.0,34000.0,Diesel,Automatic,2000,1
1035,Toyota,Fortuner,2019,40000.0,44000.0,Petrol,automatic,2800,2
1036,Hyundai,i20,2022,17000.0,37000.0,Petrol,Manual,1200,1
1037,Maruti,Swift,2020,12500.0,58000.0,Diesel,Manual,1200,2
1038,Honda,City,2018,20000.0,49000.0,Petrol,Automatic,1500,1
1039,Kia,Sonet,2021,21500.0,23000.0,Petrol,Manual,1200,2
1040,Toyota,Innova,2022,31000.0,35000.0,,Automatic,2500,3
1041,Ford,Endeavour,2019,33000.0,61000.0,Diesel,Automatic,2000,1
1042,Tata,Nexon,2020,19000.0,30000.0,Petrol,Manual,1500,2
1043,Hyundai,Verna,2021,17500.0,32000.0,Petrol,Manual,1600,1
1044,Honda,Civic,2018,22500.0,47000.0,Diesel,Automatic,1800,3
1045,Maruti,Baleno,2022,13500.0,54000.0,,Manual,1200,2
1046,Toyota,Camry,2020,30000.0,29000.0,Diesel,Automatic,2500,1
1047,Kia,Carens,2019,24500.0,25000.0,Petrol,Manual,1500,2
1048,Ford,Aspire,2021,14500.0,66000.0,Diesel,Automatic,1500,3
1049,Tata,Punch,2022,15500.0,43000.0,Petrol,Manual,1200,1
1050,Honda,Amaze,2018,18500.0,51000.0,Petrol,Automatic,1500,2
1006,Toyota,Corolla,2020,27000.0,40000.0,Petrol,Automatic,1800,2
1011,Tata,Harrier,2020,28000.0,32000.0,Diesel,Automatic,2000,2
1021,Hyundai,Verna,2021,18000.0,27000.0,Petrol,Automatic,1600,1
